Date,Hour,Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
2020-11-14,1,00:00 - 00:15,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8
2020-11-14,1,00:15 - 00:30,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35
2020-11-14,1,00:30 - 00:45,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84
2020-11-14,1,00:45 - 01:00,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37
2020-11-14,1,00:00 - 00:15,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8,2180.8
2020-11-14,1,00:15 - 00:30,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35,2243.35
2020-11-14,1,00:30 - 00:45,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84,2349.84
2020-11-14,1,00:45 - 01:00,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37,2399.37
2020-11-14,2,01:00 - 01:15,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09
2020-11-14,2,01:15 - 01:30,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5
2020-11-14,2,01:30 - 01:45,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38
2020-11-14,2,01:45 - 02:00,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3
2020-11-14,2,01:00 - 01:15,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09,2399.09
2020-11-14,2,01:15 - 01:30,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5,2249.5
2020-11-14,2,01:30 - 01:45,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38,2274.38
2020-11-14,2,01:45 - 02:00,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3,2208.3
2020-11-14,3,02:00 - 02:15,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69,2208.69
2020-11-14,3,02:15 - 02:30,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38,2100.38
2020-11-14,3,02:30 - 02:45,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4,2000.4
